pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
KEGG_AUTOIMMUNE_THYROID_DISEASE	0.00581395348837209	0.0478997344491832	0.634442150741232	2.2480098546919	0	49	HLA-DRA|HLA-DQA1|HLA-A|HLA-B|HLA-C|HLA-G|HLA-DPA1|HLA-DRB4|HLA-E|HLA-DRB3
DAUER_STAT3_TARGETS_UP	0.00581395348837209	0.0478997344491832	0.558033276636322	1.97727137715999	0	49	SOD2|SLC2A3|CCL2|ZFP36|PFKFB3|SOCS3|TRIB1|BCL6|SFN|FOSL1|DUSP5|BCL3|IGFBP1|ICAM1|CEBPD|ADM|MAFF|SLC2A14
NATSUME_RESPONSE_TO_INTERFERON_BETA_DN	0.00581395348837209	0.0478997344491832	0.644331977264365	2.28305233643626	0	49	FTH1|CD63|TMSB10|RPS2|FTL|NFKBIA|GAPDH|TXN|NCOR2|CXCR1|LGALS1
ZHANG_PROLIFERATING_VS_QUIESCENT	0.00581395348837209	0.0478997344491832	0.559576390059486	2.00446329362559	0	50	PTMA|TMSB10|IL8|PLAUR|RHOA|HSP90AA1|MARCKSL1|RPL6|CXCL2|RPS19|GPX1|CASP4|RELA
AMIT_EGF_RESPONSE_40_HELA	0.00584795321637427	0.0479310726615736	0.639507001609524	2.16104219262172	0	41	RPS11|SLC2A3|IER3|ZFP36|DUSP1|BTG2|PTGS2|EGR1|EGR3|PPP1R15A|SGK1|JUNB|KLF2|IER2|DUSP5|BCL3|CCNL1|DUSP2
GNATENKO_PLATELET_SIGNATURE	0.00584795321637427	0.0479310726615736	0.798695588159777	2.74422780202911	0	45	RPL41|FTH1|PTMA|MYL6|UBC|TMSB4X|ACTB|B2M|HLA-C|GAPDH|HLA-E|ITM2B|HIST1H2AC|HIST2H2BE|GPX1|TAGLN2|TUBA4A|CFL1|RNF24|SEPT5-GP1BB
CHNG_MULTIPLE_MYELOMA_HYPERPLOID_UP	0.00584795321637427	0.0479310726615736	0.623769880195619	2.14320283306579	0	45	RPS6|RPS9|RPS13|RPLP2|RPL35|RPL35A|RPS16|RPS3|RPS14|UBA52|RPL18|RPS19|RPL14|RPS15|EEF1G|RPL36
DUNNE_TARGETS_OF_AML1_MTG8_FUSION_UP	0.00588235294117647	0.0481301799070144	0.632003499136403	2.22625828072873	0	48	S100A8|CXCR4|LYZ|LCP1|LAPTM5|ALOX5AP|SAMSN1|CST7|CSF3R|IL6R|SLA|CD24|ICAM3|LST1|NKG7|HSPA6|GCA|BTG1|NFE2
PRAMOONJAGO_SOX4_TARGETS_UP	0.00617283950617284	0.0495700872316949	0.55329091197941	1.97998530926717	0	51	SOD2|CXCR4|SLC2A3|IL1B|IER3|NFIL3|VEGFA|ZFP36L1|RIT1|BTG1|TNFAIP3|AMPD3|NDRG1|GPRC5A|ADM|CCNL1|BHLHE40|MAFF
TIEN_INTESTINE_PROBIOTICS_6HR_UP	0.00617283950617284	0.0495700872316949	0.823277824229427	2.94614995859605	0	51	RPL41|RPS11|UBC|RPS2|ACTB|RPS6|RPS3A|EEF1A1|B2M|FTL|RPL9|PTP4A2|YWHAE|GAPDH|TPT1|RPL23A|RPS27|RPL5|HSPA8|PPIA|TXN|RPS14|RPS19|RPLP0|EEF1G|RPS24|KLF5|CALR
FLOTHO_PEDIATRIC_ALL_THERAPY_RESPONSE_UP	0.00617283950617284	0.0495700872316949	0.55667044754101	1.99207918360929	0	51	RPS6|RPS20|RPL27|RPS9|TPT1|RPL5|RPS16|RPL6|RPS28|RAB1A|RPS19|RPL17|RPLP0|CD69|SLC38A2|EEF1G|FAU|NDRG1|ALX4
LEE_EARLY_T_LYMPHOCYTE_DN	0.00617283950617284	0.0495700872316949	0.581829366916708	2.0821119126536	0	51	HLA-A|SLC2A3|HLA-B|HLA-C|IFITM2|CD44|GPR183|HLA-E|EMP3|IL6R|IFITM1|CCR7|TUBA4A|KLF2|COTL1
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	0.00625	0.0501052188552189	0.724622543823347	2.61970776447842	0	52	RPS11|RPS2|RPS6|RPS3A|RPS27A|RPS20|RPS9|RPS25|RPS13|RPS27|RPS16|RPS18|RPS28|RPS3|PABPC1|RPS4X|RPS14|RPS19|RPS15A|RPS8|RPS15|RPS4Y1|RPS24|FAU|RPS10
ONDER_CDH1_TARGETS_3_DN	0.00641025641025641	0.0509424677464216	0.596958875348487	2.16577480285363	0	57	PI3|IL8|IL1R2|IL1B|LCN2|PTGS2|KRT13|SERPINB1|CXCL2|EMR2|CSF3|S100A7|SERPINB2|ARL4C|GPRC5A|HS3ST2|MMP10|EPN3|KLK11|SOX9|KLK7|KLK10|VGLL1|CEACAM6|ARHGAP25|P2RY2|TMPRSS11E|EDN1|KRT8|KRT15|DUSP6
CROONQUIST_STROMAL_STIMULATION_UP	0.00641025641025641	0.0509424677464216	0.577861836199565	2.09649048879816	0	57	TMSB4X|RGS2|NFKBIA|IER3|DUSP1|CCL4|BASP1|FOS|PPP1R15A|CXCL2|CCL3|IGHV5-78|RPS4Y1|IER2|TSC22D3|FSCN1|IGFBP4|SMARCD3|CTGF|LOXL1|COL6A1|PIM2
DASU_IL6_SIGNALING_UP	0.00641025641025641	0.0509424677464216	0.606052371723974	2.19876612961525	0	57	SOD2|IFI30|CCL2|IL8|IER3|ZFP36|HIST1H2AC|HIST2H2BE|SERPINB2|GEM|PTGES|TMEM158|COL16A1|SOX4|MAFF|TAPBP|HTRA1|ATP2B1|COL6A1|FAM189B|HLA-F|IRAK1|MAP2K2|EMILIN1|IRF9|ZFP36L2|TNFAIP6|DNM1|FCHO1|MMP1|CEBPB|SREBF1|AGRN|PLEC|ANPEP|MGRN1|NAGPA|FASN|VEGFB|KHSRP
NAGASHIMA_EGF_SIGNALING_UP	0.00645161290322581	0.0509424677464216	0.688032829922866	2.50774083447792	0	55	IER3|ZFP36|DUSP1|MCL1|ETS2|EGR1|EGR3|EGR2|KDM6B|FOS|JUNB|AREG|TRIB1|ARC|GEM|IER2|FOSL1|DUSP5|PLEKHO2|DUSP2|SIK1|NR4A3|BHLHE40|MAFF|CTGF|HES1|KLF10|NAB2|DNAJB1|EGR4|TNFRSF12A|FOSB|DLX2|LIF
JOHANSSON_GLIOMAGENESIS_BY_PDGFB_UP	0.00645161290322581	0.0509424677464216	0.550083711666432	2.00494413367127	0	55	CD63|EEF1A1|B2M|FTL|YBX1|SPP1|MARCKSL1|FOS|MARCKS|PPP1R18|SULF2|TPM4|RPLP0|TAGLN2|LGALS1|TMEM176B|CDC42SE1
HAHTOLA_MYCOSIS_FUNGOIDES_CD4_UP	0.00649350649350649	0.0509424677464216	0.663033337615776	2.44939928009842	0	61	RPS11|SOD2|GLUL|IL8|PLAUR|IL1B|IER3|ACTR2|BTG2|G0S2|CCL4|ETS2|PTGS2|HLA-DRB4|EGR1|EGR2|PFKFB3|PPP1R15A|CXCL2|NLRP3|TRIB1|KIR3DS1|HIST2H2BE|CEBPD|ADM|PRKAR1A
NADLER_OBESITY_UP	0.00649350649350649	0.0509424677464216	0.595737366296749	2.18959054368322	0	60	CSTB|IFI30|CTSL1|LAPTM5|ALOX5AP|CD68|DUSP1|FCER1G|BASP1|CD53|PSAP|PABPC1|FCGR2A|PFN1|TPM4|HCLS1|CFL1|CTSS
LEE_LIVER_CANCER_MYC_TGFA_UP	0.0065359477124183	0.0511910904712762	0.563519012197362	2.0612875217696	0	59	CD63|CSTB|SLPI|LCN2|BTG2|ETS2|ACTG1|RPL12|MT3|MMP12|RALB|TAGLN2|TFF3|RPS24|LY6D|IGFBP1|NDRG1|RAB3D|ICAM1
MIKKELSEN_MEF_LCP_WITH_H3K27ME3	0.00666666666666667	0.0516205962059621	0.543187409934269	2.00765089915462	0	62	RGS14|PDZK1IP1|SLC16A8|ADAMTSL2|SP7|FAM92B|HAPLN2|ENTPD8|PKLR|KCNIP3|KISS1|TRPM2|ADAMTS13|ZNF385C|SOST|C16orf89|CD207|PAX4|LCN8|MRGPRG|IL17RE|C20orf160|FGF23|NTNG2|TNFRSF9|CARD14|CDHR2|SLC13A2|SP6|ABCG8|SLC45A3|PPY|STRA6|SLC17A7|PRND|MMEL1|HDC|SLC4A1|FNDC8|BTNL9|CLSTN3|ATP1A2|NR0B2
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES	0.00666666666666667	0.0516205962059621	0.732018180479447	2.70557993679369	0	62	RPS6|RPS3A|EEF1A1|RPS27A|RPS9|RPS25|RPS13|TPT1|RPL5|RPL18A|RPS16|RPL30|RPL26|RPL6|RPL10|RPS3|RPS4X|RPS14|UBA52|RPL18|RPS19|RPL14|RPL8|RPS8|EEF1G|RPS24|FAU|C8G|RPS10
PHONG_TNF_TARGETS_UP	0.00666666666666667	0.0516205962059621	0.641539569958633	2.37116595656474	0	62	IL8|NFKBIA|IER3|ZFP36|DUSP1|CD44|MCL1|ETS2|EGR1|EGR2|FOS|CXCL2|JUNB|IER5|GEM|PLAU|BTG1|REL|IER2|TNFAIP3|DUSP5|BIRC3|ICAM1|CEBPD|CCNL1|BHLHE40|NKX3-1|CD83|IL11|DUSP8|KLF10|TNFAIP2|NFKB2|IRF1|LIF
BOSCO_EPITHELIAL_DIFFERENTIATION_MODULE	0.00689655172413793	0.0530555400813325	0.632555617522503	2.36712134030234	0	63	SPRR3|LCN2|SPRR1B|SPRR1A|KRT13|ECM1|CEACAM5|SPRR2A|IGLJ3|MAL|MUC21|MUC1|SERPINB2|KRT17|NDRG2|IGKC|NCCRP1|KRT16|GPRC5A|KRT18|TM4SF1|FAM3D|SPNS2|PSCA|CEACAM7|KRT4|TACSTD2|KRT78|PARD6B|MUC4|SPINK5|CEACAM6|TMPRSS11E|MUC16|PPL|F3|RHCG|TGM3|A2ML1|HSPB8|ELF3|TSPAN6|GABRP
