GENBANK_ACCESSION	Name	Species
NR_024204	cytoskeleton regulator RNA(CYTOR)	Homo sapiens
NM_001190995	importin 8(IPO8)	Homo sapiens
NM_006390	importin 8(IPO8)	Homo sapiens
U77494	importin 8(IPO8)	Homo sapiens
BC065012	THO complex 7(THOC7)	Homo sapiens
NM_025075	THO complex 7(THOC7)	Homo sapiens
AK128476	immunoglobulin heavy constant alpha 1(IGHA1)	Homo sapiens
AF034607	chloride intracellular channel 1(CLIC1)	Homo sapiens
NM_001288	chloride intracellular channel 1(CLIC1)	Homo sapiens
BC073782	immunoglobulin heavy constant gamma 1 (G1m marker)(IGHG1)	Homo sapiens
BC065192	RNA binding motif single stranded interacting protein 1(RBMS1)	Homo sapiens
NM_002897	RNA binding motif single stranded interacting protein 1(RBMS1)	Homo sapiens
NM_016836	RNA binding motif single stranded interacting protein 1(RBMS1)	Homo sapiens
X02067	RNA, 7SL, cytoplasmic 2(RN7SL2)	Homo sapiens
NR_027260	RNA, 7SL, cytoplasmic 2(RN7SL2)	Homo sapiens
NM_033554	major histocompatibility complex, class II, DP alpha 1(HLA-DPA1)	Homo sapiens
BC009956	major histocompatibility complex, class II, DP alpha 1(HLA-DPA1)	Homo sapiens
AK292709	major histocompatibility complex, class II, DP alpha 1(HLA-DPA1)	Homo sapiens
AB209058	major histocompatibility complex, class II, DP alpha 1(HLA-DPA1)	Homo sapiens
M27487	major histocompatibility complex, class II, DP alpha 1(HLA-DPA1)	Homo sapiens
BC060762	phosphodiesterase 8A(PDE8A)	Homo sapiens
NM_173454	phosphodiesterase 8A(PDE8A)	Homo sapiens
NM_002605	phosphodiesterase 8A(PDE8A)	Homo sapiens
U35431	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
NM_002116	major histocompatibility complex, class I, A(HLA-A)	Homo sapiens
AK301019	major histocompatibility complex, class I, A(HLA-A)	Homo sapiens
BC003069	major histocompatibility complex, class I, A(HLA-A)	Homo sapiens
NM_002543	oxidized low density lipoprotein receptor 1(OLR1)	Homo sapiens
AB010710	oxidized low density lipoprotein receptor 1(OLR1)	Homo sapiens
NM_001172633	oxidized low density lipoprotein receptor 1(OLR1)	Homo sapiens
NM_001172632	oxidized low density lipoprotein receptor 1(OLR1)	Homo sapiens
BC018538	arachidonate 5-lipoxygenase activating protein(ALOX5AP)	Homo sapiens
NM_001629	arachidonate 5-lipoxygenase activating protein(ALOX5AP)	Homo sapiens
	BC020638		
	U83416		
	AK311549		
	X81730		
