GENBANK_ACCESSION	Name	Species
BC024739	DEAD-box helicase 18(DDX18)	Homo sapiens
NR_002715	RNA, 7SL, cytoplasmic 1(RN7SL1)	Homo sapiens
NM_005217	defensin alpha 3(DEFA3)	Homo sapiens
BC119706	defensin alpha 3(DEFA3)	Homo sapiens
BC081560	H3 histone, family 3A, pseudogene 4(H3F3AP4)	Homo sapiens
NR_002315	H3 histone, family 3A, pseudogene 4(H3F3AP4)	Homo sapiens
NM_003542	histone cluster 1 H4 family member c(HIST1H4C)	Homo sapiens
BC130558	histone cluster 1 H4 family member c(HIST1H4C)	Homo sapiens
NM_004084	defensin alpha 1(DEFA1)	Homo sapiens
BC069423	defensin alpha 1(DEFA1)	Homo sapiens
M26602	defensin alpha 1(DEFA1)	Homo sapiens
U41515	split hand/foot malformation (ectrodactyly) type 1(SHFM1)	Homo sapiens
NM_006304	split hand/foot malformation (ectrodactyly) type 1(SHFM1)	Homo sapiens
BC008403	major histocompatibility complex, class II, DR beta 1(HLA-DRB1)	Homo sapiens
M26038	major histocompatibility complex, class II, DR beta 1(HLA-DRB1)	Homo sapiens
BC007920	major histocompatibility complex, class II, DR beta 1(HLA-DRB1)	Homo sapiens
M11867	major histocompatibility complex, class II, DR beta 1(HLA-DRB1)	Homo sapiens
AK297032	major histocompatibility complex, class II, DR alpha(HLA-DRA)	Homo sapiens
M60333	major histocompatibility complex, class II, DR alpha(HLA-DRA)	Homo sapiens
M60334	major histocompatibility complex, class II, DR alpha(HLA-DRA)	Homo sapiens
AK304429	major histocompatibility complex, class II, DR alpha(HLA-DRA)	Homo sapiens
AK301190	major histocompatibility complex, class II, DR alpha(HLA-DRA)	Homo sapiens
NM_019111	major histocompatibility complex, class II, DR alpha(HLA-DRA)	Homo sapiens
BC032350	major histocompatibility complex, class II, DR alpha(HLA-DRA)	Homo sapiens
BC071659	major histocompatibility complex, class II, DR alpha(HLA-DRA)	Homo sapiens
AK301134	major histocompatibility complex, class II, DR alpha(HLA-DRA)	Homo sapiens
CR457013	major histocompatibility complex, class II, DR alpha(HLA-DRA)	Homo sapiens
AK301354	major histocompatibility complex, class II, DR alpha(HLA-DRA)	Homo sapiens
X58061	small nucleolar RNA, C/D box 13 pseudogene 1(SNORD13P1)	Homo sapiens
NM_001444	fatty acid binding protein 5(FABP5)	Homo sapiens
BC070303	fatty acid binding protein 5(FABP5)	Homo sapiens
AK225690	major histocompatibility complex, class II, DR beta 4(HLA-DRB4)	Homo sapiens
AK293020	major histocompatibility complex, class II, DR beta 4(HLA-DRB4)	Homo sapiens
NM_022555	major histocompatibility complex, class II, DR beta 3(HLA-DRB3)	Homo sapiens
BC008987	major histocompatibility complex, class II, DR beta 3(HLA-DRB3)	Homo sapiens
NM_138792	LEO1 homolog, Paf1/RNA polymerase II complex component(LEO1)	Homo sapiens
AY302186	LEO1 homolog, Paf1/RNA polymerase II complex component(LEO1)	Homo sapiens
X02067	RNA, 7SL, cytoplasmic 2(RN7SL2)	Homo sapiens
NR_027260	RNA, 7SL, cytoplasmic 2(RN7SL2)	Homo sapiens
AK292709	major histocompatibility complex, class II, DP alpha 1(HLA-DPA1)	Homo sapiens
NM_033554	major histocompatibility complex, class II, DP alpha 1(HLA-DPA1)	Homo sapiens
BC009956	major histocompatibility complex, class II, DP alpha 1(HLA-DPA1)	Homo sapiens
M27487	major histocompatibility complex, class II, DP alpha 1(HLA-DPA1)	Homo sapiens
AB209058	major histocompatibility complex, class II, DP alpha 1(HLA-DPA1)	Homo sapiens
BC125044	major histocompatibility complex, class II, DQ alpha 1(HLA-DQA1)	Homo sapiens
NM_002122	major histocompatibility complex, class II, DQ alpha 1(HLA-DQA1)	Homo sapiens
BC028919	transducer of ERBB2, 2(TOB2)	Homo sapiens
L37881	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
D50294	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
M77774	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
L17005	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
D31816	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
M75138	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U29057	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
L22028	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U29083	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
U29480	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
L42345	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
AF189017	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
M77778	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
M84384	major histocompatibility complex, class I, B(HLA-B)	Homo sapiens
